n,n,x,n,n
n,n,x,n,n
n,n,x,n,n
n,n,x,n,n
n,n,x,x,n
n,n,x,x,n
n,n,x,x,n
n,n,x,x,n
n,n,n,x,n
n,n,n,x,n
n,n,x,x,n
n,n,x,x,n
n,n,x,x,n
n,n,x,x,n
n,n,x,n,n
n,n,x,n,n
n,n,x,n,n
n,n,x,n,n
n,n,x,x,n
n,n,x,x,n
n,n,x,x,n
n,n,x,x,n
n,n,x,n,x
n,n,x,n,x
n,o,x,n,x
n,o,x,n,x
n,o,x,n,x
n,o,x,n,x
n,o,x,n,x
n,o,x,n,x
n,o,n,n,x
n,o,n,n,x
n,o,x,n,x
n,o,x,n,x
n,n,x,o,x
n,n,x,o,x
n,n,x,o,n
n,n,x,o,n
n,x,x,o,n
n,x,x,o,n
n,x,x,o,n
n,x,x,o,n
n,x,n,o,n
n,x,n,o,n
n,x,x,n,n
n,x,x,n,n
n,x,x,n,n
n,x,x,n,n
n,n,x,x,n
n,n,x,x,n
n,n,x,x,o
n,n,x,x,o
n,n,n,x,o
n,n,n,x,o
n,n,x,n,o
n,n,x,n,o
n,n,x,n,o
n,n,x,n,o
x,n,x,n,o
x,n,x,n,o
x,n,x,n,n
x,n,x,n,n
x,n,x,o,n
x,n,x,o,n
x,n,x,o,n
x,n,x,o,n
n,n,x,n,n
n,n,x,n,n
n,o,x,x,n
n,o,x,x,n
n,o,x,x,n
n,o,x,x,n
n,o,n,x,n
n,o,n,x,n
n,o,x,x,n
n,o,x,x,n
n,o,x,x,n
n,o,x,x,n
n,n,x,n,n
n,n,x,n,n
